ElementID,Action,N1,N2,N3,N4
95609,DELETE,0,0,0,0
96915,TRIA,115323,115572,115618,0
96948,DELETE,0,0,0,0
96949,DELETE,0,0,0,0
96950,DELETE,0,0,0,0
96951,DELETE,0,0,0,0
96952,DELETE,0,0,0,0
96953,DELETE,0,0,0,0
96954,DELETE,0,0,0,0
96955,DELETE,0,0,0,0
96956,DELETE,0,0,0,0
97268,TRIA,116003,115953,115663,0
100684,TRIA,71875,119446,119725,0
100691,DELETE,0,0,0,0
100692,DELETE,0,0,0,0
100693,DELETE,0,0,0,0
100694,DELETE,0,0,0,0
100695,DELETE,0,0,0,0
100696,DELETE,0,0,0,0
100697,DELETE,0,0,0,0
100698,DELETE,0,0,0,0
100699,DELETE,0,0,0,0
100700,DELETE,0,0,0,0
100701,DELETE,0,0,0,0
100702,DELETE,0,0,0,0
100703,DELETE,0,0,0,0
100704,DELETE,0,0,0,0
100708,TRIA,119528,71844,119562,0
100715,DELETE,0,0,0,0
100716,DELETE,0,0,0,0
100717,DELETE,0,0,0,0
100718,DELETE,0,0,0,0
100719,DELETE,0,0,0,0
100720,DELETE,0,0,0,0
100721,DELETE,0,0,0,0
100722,DELETE,0,0,0,0
100723,DELETE,0,0,0,0
100724,DELETE,0,0,0,0
100725,DELETE,0,0,0,0
100726,DELETE,0,0,0,0
100727,DELETE,0,0,0,0
100728,DELETE,0,0,0,0
101490,DELETE,0,0,0,0
101922,TRIA,120786,121067,63744,0
101925,TRIA,72316,72315,121057,0
101928,DELETE,0,0,0,0
101929,DELETE,0,0,0,0
101930,DELETE,0,0,0,0
101931,DELETE,0,0,0,0
101932,DELETE,0,0,0,0
101933,DELETE,0,0,0,0
101934,DELETE,0,0,0,0
101935,DELETE,0,0,0,0
101936,DELETE,0,0,0,0
101937,DELETE,0,0,0,0
101938,DELETE,0,0,0,0
101939,DELETE,0,0,0,0
101940,DELETE,0,0,0,0
101941,DELETE,0,0,0,0
101942,DELETE,0,0,0,0
104028,TRIA,122398,63211,63209,0
104045,DELETE,0,0,0,0
104091,TRIA,63357,122317,122319,0
105150,TRIA,63549,124555,123547,0
105168,TRIA,60704,112962,60703,0
105214,DELETE,0,0,0,0
105216,DELETE,0,0,0,0
105217,DELETE,0,0,0,0
105218,DELETE,0,0,0,0
105219,DELETE,0,0,0,0
105727,TRIA,63017,124682,63016,0
106380,TRIA,125109,63359,63357,0
108703,TRIA,127826,72774,127868,0
108706,TRIA,127811,128044,74033,0
108709,DELETE,0,0,0,0
108710,DELETE,0,0,0,0
108711,DELETE,0,0,0,0
108712,DELETE,0,0,0,0
108713,DELETE,0,0,0,0
108714,DELETE,0,0,0,0
108715,DELETE,0,0,0,0
108716,DELETE,0,0,0,0
108717,DELETE,0,0,0,0
108718,DELETE,0,0,0,0
108719,DELETE,0,0,0,0
108720,DELETE,0,0,0,0
108721,DELETE,0,0,0,0
108722,DELETE,0,0,0,0
108723,DELETE,0,0,0,0
108952,TRIA,128158,72610,128198,0
108959,DELETE,0,0,0,0
108960,DELETE,0,0,0,0
108961,DELETE,0,0,0,0
108962,DELETE,0,0,0,0
108963,DELETE,0,0,0,0
108964,DELETE,0,0,0,0
108965,DELETE,0,0,0,0
108966,DELETE,0,0,0,0
108967,DELETE,0,0,0,0
108968,DELETE,0,0,0,0
108969,DELETE,0,0,0,0
108970,DELETE,0,0,0,0
108971,DELETE,0,0,0,0
108972,DELETE,0,0,0,0
108976,TRIA,72577,128076,128354,0
108983,DELETE,0,0,0,0
108984,DELETE,0,0,0,0
108985,DELETE,0,0,0,0
108986,DELETE,0,0,0,0
108987,DELETE,0,0,0,0
108988,DELETE,0,0,0,0
108989,DELETE,0,0,0,0
108990,DELETE,0,0,0,0
108991,DELETE,0,0,0,0
108992,DELETE,0,0,0,0
108993,DELETE,0,0,0,0
108994,DELETE,0,0,0,0
108995,DELETE,0,0,0,0
108996,DELETE,0,0,0,0
109922,TRIA,62617,128486,129476,0
109985,TRIA,62895,62897,128565,0
111060,TRIA,62897,62896,129588,0
111122,TRIA,129667,60240,62758,0
112193,TRIA,62478,130832,131828,0
112256,TRIA,55621,62619,130911,0
112560,REORDER,16142,132082,131995,132684
113132,TRIA,132022,54656,62480,0
113197,REORDER,132881,16624,133894,132805
114342,TRIA,62758,62756,132717,0
116992,TRIA,137466,136383,136384,0
117784,DELETE,0,0,0,0
117786,TRIA,136343,136618,136341,0
118302,TRIA,138105,136289,136290,0
118317,TRIA,138211,136247,137777,0
118370,TRIA,13894,138298,13895,0
118436,TRIA,14059,138286,14038,0
118627,TRIA,138292,136556,138399,0
120322,DELETE,0,0,0,0
120330,DELETE,0,0,0,0
120347,TRIA,704,140205,82796,0
120377,TRIA,140197,140275,140195,0
122593,DELETE,0,0,0,0
122594,DELETE,0,0,0,0
122595,DELETE,0,0,0,0
122596,DELETE,0,0,0,0
122597,DELETE,0,0,0,0
122598,DELETE,0,0,0,0
122599,DELETE,0,0,0,0
122600,DELETE,0,0,0,0
122601,DELETE,0,0,0,0
122602,DELETE,0,0,0,0
122603,DELETE,0,0,0,0
122604,DELETE,0,0,0,0
122605,DELETE,0,0,0,0
122606,DELETE,0,0,0,0
122607,DELETE,0,0,0,0
122608,DELETE,0,0,0,0
122609,DELETE,0,0,0,0
122610,DELETE,0,0,0,0
123065,DELETE,0,0,0,0
124000,DELETE,0,0,0,0
124116,DELETE,0,0,0,0
124963,DELETE,0,0,0,0
124971,DELETE,0,0,0,0
125297,DELETE,0,0,0,0
125613,TRIA,17572,17596,66530,0
125784,TRIA,17596,145889,146091,0
125995,TRIA,146314,141523,146349,0
126008,DELETE,0,0,0,0
126011,TRIA,13329,17562,13330,0
126189,TRIA,146462,147285,146765,0
127125,TRIA,147490,19859,19860,0
127139,TRIA,138593,138594,19859,0
127222,DELETE,0,0,0,0
127224,DELETE,0,0,0,0
127822,DELETE,0,0,0,0
128079,DELETE,0,0,0,0
129618,DELETE,0,0,0,0
129620,DELETE,0,0,0,0
132304,TRIA,12906,153557,153556,0
132421,TRIA,153613,153614,64742,0
134262,TRIA,15347,156002,156001,0
134367,DELETE,0,0,0,0
134374,TRIA,71586,156057,156056,0
134489,DELETE,0,0,0,0
134515,TRIA,156482,156192,156481,0
134874,DELETE,0,0,0,0
135215,DELETE,0,0,0,0
135223,DELETE,0,0,0,0
136058,TRIA,158250,158249,157959,0
136146,TRIA,158305,157916,158304,0
136288,DELETE,0,0,0,0
136587,DELETE,0,0,0,0
136628,TRIA,158660,158667,158126,0
136636,TRIA,158669,158659,158123,0
156132,DELETE,0,0,0,0
157633,DELETE,0,0,0,0
160173,DELETE,0,0,0,0
160174,DELETE,0,0,0,0
160175,DELETE,0,0,0,0
160176,DELETE,0,0,0,0
160177,DELETE,0,0,0,0
160178,DELETE,0,0,0,0
160179,DELETE,0,0,0,0
160180,DELETE,0,0,0,0
160181,DELETE,0,0,0,0
160182,DELETE,0,0,0,0
160183,DELETE,0,0,0,0
162305,DELETE,0,0,0,0
162306,DELETE,0,0,0,0
162307,DELETE,0,0,0,0
162308,DELETE,0,0,0,0
162309,DELETE,0,0,0,0
162310,DELETE,0,0,0,0
162311,DELETE,0,0,0,0
162312,DELETE,0,0,0,0
162313,DELETE,0,0,0,0
162314,DELETE,0,0,0,0
162315,DELETE,0,0,0,0
163898,DELETE,0,0,0,0
163976,DELETE,0,0,0,0
164893,TRIA,190362,190346,72316,0
164895,TRIA,120801,190317,190361,0
165012,DELETE,0,0,0,0
165015,TRIA,190470,190532,127811,0
165062,TRIA,190542,115325,115324,0
165096,DELETE,0,0,0,0
165133,TRIA,115662,190643,115664,0
165164,DELETE,0,0,0,0
179552,TRIA,206620,206621,205942,0
180065,TRIA,207165,206594,207164,0
181285,TRIA,208690,208692,208689,0
181436,TRIA,208945,208947,208944,0
181440,DELETE,0,0,0,0
181454,TRIA,59069,59864,99737,0
181754,TRIA,46793,99816,46792,0
181757,DELETE,0,0,0,0
181771,TRIA,58961,59809,102789,0
182071,TRIA,46746,102868,46745,0
182074,DELETE,0,0,0,0
182075,TRIA,100874,58437,210144,0
182398,DELETE,0,0,0,0
182412,TRIA,58757,59699,96791,0
182712,TRIA,46172,96870,46171,0
182747,DELETE,0,0,0,0
182767,TRIA,59068,101579,94925,0
182805,TRIA,94935,58960,99816,0
183130,TRIA,94955,58756,102868,0
183559,TRIA,94945,58436,96870,0
184101,TRIA,46840,101579,46839,0
184174,DELETE,0,0,0,0
186540,DELETE,0,0,0,0
186869,DELETE,0,0,0,0
186898,DELETE,0,0,0,0
186981,TRIA,48716,56797,215381,0
187222,DELETE,0,0,0,0
